,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
1218,The College of Osteopaths,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1219,Conservatoire for Dance and Drama,175,165,1.75,90,0,0,2.4,10,4.6,7.5,1.75,2,123.2,England,2019-20,London,Low
1220,The Council of the Inns of Court,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1221,Courtauld Institute of Art,60,55,3.08,95,0,3.2,2.1,5,8.1,2.9,3.08,1.1,70.7,England,2019-20,London,Moderate
1222,Court Theatre Training Company Ltd,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1223,Coventry University,6780,5765,0.33,88.1,220,3.3,3.2,790,11.7,8.7,0.33,5.2,104.9,England,2019-20,Coventry,High
1224,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Bedfordshire,Low
1225,University for the Creative Arts,1110,975,0.8,89.2,30,2.8,2.9,105,9.3,7.9,0.8,2.3,124.7,England,2019-20,Farnham,Moderate
1226,University of Cumbria,1480,1280,0.71,88.2,45,3.2,2.7,155,10.4,9.1,0.71,1.7,104.8,England,2019-20,Carlisle,High
1227,Dartington Hall Trust (The),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Dartington,Low
1228,David Game College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1229,De Montfort University,5540,4790,0.36,88.9,175,3.1,3.2,575,10.4,7.9,0.36,3.7,100.5,England,2019-20,Leicester,High
1230,University of Derby,3865,3385,0.4,87.5,130,3.3,3,350,9,9.5,0.4,6.9,91.4,England,2019-20,Derby,Moderate
1231,University of Durham,3540,3450,0.32,95.7,35,1,1.8,55,1.5,2.5,0.32,8,65.7,England,2019-20,Durham,Low
1232,The University of East Anglia,3730,3535,0.35,92.9,70,1.9,2.4,125,3.4,4.7,0.35,2,92.7,England,2019-20,Norwich,Low
1233,The University of East London,3305,2915,0.46,86.7,85,2.5,3,310,9.3,10.3,0.46,2.3,101,England,2019-20,London,Moderate
1234,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Birmingham,Low
1235,Edge Hill University,3435,3145,0.42,90.2,50,1.5,2.6,240,6.9,7.2,0.42,2.2,102.1,England,2019-20,Ormskirk,Moderate
1236,Empire College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1237,The University of Essex,3140,2785,0.44,89.9,135,4.3,3.2,220,6.9,6.9,0.44,1.9,100,England,2019-20,Colchester,Moderate
1238,University College of Estate Management,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Reading,Low
1239,ESCP Europe Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London ,Low
1240,The University of Exeter,4980,4730,0.3,94.5,90,1.8,2.1,155,3.1,3.3,0.3,4.8,79.1,England,2019-20,Exeter,Low
1241,Falmouth University?,1715,1390,0.65,88.6,150,8.7,3,175,10.2,8.3,0.65,2.7,114.4,England,2019-20,Cornwall,High
1242,Fairfield School of Business Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Birmingham,Low
1243,Met Film School Limited,50,45,3.68,89.3,0,0,2.9,5,9.6,7.8,3.68,0.4,110.2,England,2019-20,London,Moderate
1244,The National Film and Television School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Beaconsfield,Low
1245,ForMission Ltd,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1246,Futureworks,140,115,2.54,87.1,0,1.4,3.2,20,15.7,9.7,2.54,0.3,113.4,England,2019-20,London,High
1247,Global Banking School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1248,University of Gloucestershire,1880,1680,0.6,88.9,35,1.8,2.8,165,8.9,8.3,0.6,1.1,103.1,England,2019-20,Cheltenham,Moderate
1249,Goldsmiths College,1685,1355,0.69,89,110,6.6,3,220,12.9,7.9,0.69,1.8,96.1,England,2019-20,London,High
1250,The University of Greenwich,4145,3635,0.4,88.8,160,3.8,2.9,350,8.4,8.3,0.4,2,100.2,England,2019-20,London,Moderate
1251,Guildhall School of Music and Drama,150,145,1.73,91,5,2.6,2.7,5,3.3,6.3,1.73,0.6,125.1,England,2019-20,London,Low
1252,Harper Adams University,600,575,0.82,91.7,10,1.5,2.2,20,3,6.1,0.82,14.5,41.3,England,2019-20,Edgmond,Low
1253,Hartpury University,635,575,0.94,90.1,15,2.4,2.4,45,6.9,7.5,0.94,9.9,55.5,England,2019-20,Cirencester,Moderate
1254,University of Hertfordshire,4705,4225,0.36,89.3,140,3,3.1,340,7.3,7.7,0.36,2.6,100.1,England,2019-20,Hatfield,Moderate
1255,The University of Huddersfield,3375,3030,0.43,89.5,95,2.8,3.1,250,7.4,7.3,0.43,3.1,99.7,England,2019-20,Huddersfield,Moderate
1256,The University of Hull,2830,2635,0.45,90,25,0.8,2.7,170,6,7.3,0.45,1.5,95.9,England,2019-20,Hull,Moderate
1257,ICON College of Technology and Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1258,"Imperial College of Science, Technology and Medicine",1360,1325,0.52,97,15,1,1.2,20,1.5,1.8,0.52,9.8,47.8,England,2019-20,London,Low
1259,Institute of Art - London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1260,The Institute of Ismaili Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1261,Institute of Contemporary Music Performance,260,210,1.76,87.1,20,7.6,2.7,30,11.8,10.2,1.76,1.3,121.1,England,2019-20,London,High
1262,The Islamic College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1263,Kaplan International Colleges U.K. Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Manchester,Low
1264,Kaplan Open Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Milton Keynes,Low
1265,Keele University,2485,2320,0.45,91.6,60,2.5,2.8,105,4.2,5.6,0.45,1.7,91.1,England,2019-20,Keele,Low
1266,Kensington College of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1267,The University of Kent,3645,3410,0.37,91.5,90,2.4,2.8,145,4,5.7,0.37,2.4,98.4,England,2019-20,Canterbury,Low
1268,King's College London,3485,3315,0.35,94.7,80,2.3,1.8,90,2.6,3.4,0.35,3.7,76.8,England,2019-20,London,Low
1269,KLC School of Design,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1270,Kingston University,3540,3140,0.43,88.1,125,3.6,3.5,275,7.8,8.4,0.43,2.3,99.5,England,2019-20,Kingston,Moderate
1271,LAMDA Limited,30,30,3.23,89.2,0,0,2.4,0,0,8.4,3.23,0.3,123.2,England,2019-20,London,Low
1272,The University of Lancaster,2675,2585,0.39,94.1,35,1.3,2.2,55,2.1,3.7,0.39,2.2,83.7,England,2019-20,Lancaster,Low
1273,LCCM AU UK Limited,20,15,0,0,0,0,0,5,0,0,0,0,0,England,2019-20,Birmingham,Low
1274,Leeds Arts University,730,690,0.81,90.7,15,1.8,2.8,25,3.3,6.5,0.81,2.6,130.7,England,2019-20,Leeds,Low
1275,Leeds Beckett University,5625,5050,0.34,89.1,150,2.6,3.2,430,7.6,7.7,0.34,2.9,103.8,England,2019-20,Leeds,Moderate
1276,Le Cordon Bleu Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1277,Leeds Conservatoire,420,385,1.2,89.2,10,2.1,2.9,25,6.4,7.9,1.2,1.2,129.6,England,2019-20,Leeds,Moderate
1278,The University of Leeds,5625,5410,0.27,94.7,100,1.8,2,115,2.1,3.2,0.27,4.6,77.7,England,2019-20,Leeds,Low
1279,Leeds Trinity University,2420,1955,0.59,82.5,110,4.6,3.5,355,14.6,14,0.59,8,84.1,England,2019-20,Leeds,High
1280,The University of Leicester,2655,2500,0.41,93.4,80,3.1,2.4,75,2.8,4.2,0.41,2,89.9,England,2019-20,Leicester,Low
1281,The University of Lincoln,4050,3820,0.35,90.8,65,1.6,2.8,165,4,6.4,0.35,2.2,100.2,England,2019-20,Lincoln,Low
1282,Liverpool Hope University,1340,1195,0.69,89.4,35,2.8,3,105,7.9,7.6,0.69,1.1,97.8,England,2019-20,Liverpool,Moderate
1283,Liverpool John Moores University,6180,5520,0.32,90,200,3.3,2.9,460,7.4,7.1,0.32,2.8,98.8,England,2019-20,Liverpool,Moderate
1284,The Liverpool Institute for Performing Arts,265,245,1.48,89.4,5,1.9,3,15,6,7.7,1.48,0.7,125,England,2019-20,Liverpool,Moderate
1285,The University of Liverpool,5045,4810,0.3,94.3,85,1.7,2.1,155,3,3.6,0.3,4.1,84.1,England,2019-20,Liverpool,Low
1286,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Liverpool,Low
1287,"University of the Arts, London",2730,2475,0.46,89.9,80,2.9,2.7,175,6.5,7.4,0.46,6,117.3,England,2019-20,London,Moderate
1288,London Bridge Business Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1289,London Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1290,London Churchill College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1291,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1292,City and Guilds of London Art School,45,40,3.68,87.8,0,0,1.4,5,8.9,10.8,3.68,2.3,93,England,2019-20,London,Moderate
1293,London School of Commerce & IT Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1294,London Film School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1295,The London College UCK,280,220,1.89,83.4,15,5.3,2.9,50,17.4,13.7,1.89,4.4,114.3,England,2019-20,London,High
1296,London Metropolitan University,3175,2285,0.58,83.5,265,8.3,3.4,625,19.7,13.1,0.58,3.6,89,England,2019-20,London,High
1297,London School of Academics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1298,London South Bank University,3665,3225,0.43,87.8,125,3.4,3,315,8.6,9.2,0.43,2.6,101.6,England,2019-20,London,Moderate
1299,London School of Economics and Political Science,775,755,0.71,96.4,10,1,1.6,15,1.7,2,0.71,4.1,71.3,England,2019-20,London,Low
1300,London School of Hygiene and Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1301,London School of Management Education,185,180,1.47,83.4,0,0,3.2,5,1.6,13.5,1.47,17.9,81.6,England,2019-20,London,Low
1302,London School of Theology,75,60,3.61,87.1,0,1.3,3.3,15,18.4,9.6,3.61,3.7,69.8,England,2019-20,London,High
1303,London Studio Centre,90,80,2.71,89.6,5,3.3,2.9,5,7.8,7.5,2.71,0.3,134.9,England,2019-20,London,Moderate
1304,The London School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1305,The London Institute of Banking & Finance,60,45,3.87,87.9,5,6.7,3.1,10,16.7,8.9,3.87,0.3,116.8,England,2019-20,London,High
1306,The Film Education Training Trust Limited,15,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1307,Loughborough University,3315,3155,0.36,94.3,80,2.4,2.2,85,2.6,3.5,0.36,4.3,85.6,England,2019-20,Loughborough,Low
1308,Luther King House Educational Trust,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1309,The Manchester Metropolitan University,7970,7195,0.27,90,245,3.1,2.9,525,6.6,7,0.27,3.4,105.5,England,2019-20,Manchester,Moderate
1310,The University of Manchester,5320,5095,0.28,95.1,110,2,1.9,115,2.1,2.9,0.28,4.2,79.5,England,2019-20,Manchester,Low
1311,Istituto Marangoni Limited,30,30,3.75,90,0,0,2.7,0,3.4,7.3,3.75,0.3,109.3,England,2019-20,London,Low
1312,The Markfield Institute of Higher Education,30,25,4.15,87.6,0,0,1.9,0,3.6,10.4,4.15,3.8,88.6,England,2019-20,Leicestershire,Low
1313,Matrix College of Counselling and Psychotherapy Ltd,35,30,4.63,89.3,0,0,1.3,5,12.1,9.4,4.63,0.9,82.6,England,2019-20,London,High
1314,Mattersey Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,West Yorkshire,Low
1315,St Mellitus College,90,85,2.53,88.5,0,0,2,5,7.7,9.5,2.53,9.9,56.4,England,2019-20,London,Moderate
1316,The Metanoia Institute,60,55,3.37,91.1,0,0,1.4,5,8.3,7.5,3.37,1,98.6,England,2019-20,London,Moderate
1317,Middlesex University,3850,3125,0.47,87.7,205,5.3,3.2,520,13.5,9.2,0.47,2.5,101.5,England,2019-20,London,High
1318,The Minster Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,York,Low
1319,Mountview Academy of Theatre Arts,80,80,2.42,89.2,0,0,2.8,5,3.7,8,2.42,0.5,121.3,England,2019-20,London,Low
1320,Mont Rose College of Management and Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1321,Moorlands College,50,45,3.42,87.6,0,0,3.1,5,7.8,9.3,3.42,2,68.1,England,2019-20,Bedfordshire,Moderate
1322,All Nations Christian College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Morecambe,Low
1323,Nazarene Theological College,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Manchester,Low
1324,Nelson College London Ltd,130,85,2.45,82,30,23.4,3.4,15,10.2,14.6,2.45,1.8,133,England,2019-20,London,High
1325,Newbold College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Bath,Low
1326,Newcastle University,5235,4985,0.29,94.5,110,2.1,2.1,145,2.8,3.4,0.29,4.3,80.5,England,2019-20,Newcastle ,Low
1327,New College of the Humanities,35,30,3.54,93,5,10.8,2.6,0,5.4,4.5,3.54,0.5,80.1,England,2019-20,London,Moderate
1328,Newman University,755,640,0.98,88.1,35,4.9,2.9,80,10.5,9,0.98,1.6,89.6,England,2019-20,Birmingham,High
1329,St Nicholas Montessori Training Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1330,Norland College,95,90,2.21,93.4,0,2.1,1.7,5,3.1,4.9,2.21,1.3,76.4,England,2019-20,Bath,Low
1331,The University of Northampton,2735,2480,0.47,88.4,70,2.6,3,185,6.7,8.6,0.47,1.4,104.6,England,2019-20,Northampton,Moderate
1332,Northern College of Acupuncture,35,30,4.6,90.7,0,0,1.4,5,12.1,7.9,4.6,0.5,89.7,England,2019-20,York,High
1333,University of Northumbria at Newcastle,5565,4995,0.33,90.2,160,2.9,2.9,410,7.3,6.9,0.33,3.9,97.7,England,2019-20,Newcastle upon Tyne,Moderate
1334,Norwich University of the Arts,770,690,0.92,89.2,15,2.2,2.9,60,8,7.9,0.92,1.6,121.2,England,2019-20,Norwich,Moderate
1335,University of Nottingham,7125,6760,0.25,94.8,155,2.2,2.1,210,2.9,3.2,0.25,5.5,76,England,2019-20,Nottingham,Low
1336,The Nottingham Trent University,8840,8290,0.24,90.5,170,1.9,2.9,380,4.3,6.5,0.24,4.3,102.2,England,2019-20,Nottingham,Low
1337,The Open University in England,255,255,1.18,89.7,0,0,1.8,0,0.4,8.5,1.18,4.3,90.7,England,2019-20,Milton Keynes,Low
1338,ICOM,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1339,Oxford Brookes University,3235,3005,0.41,90.7,60,1.9,2.8,170,5.2,6.5,0.41,2.4,94.6,England,2019-20,Oxford,Moderate
1340,Oxford Business College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Oxford,Low
1341,The University of Oxford,2580,2545,0.36,96.8,10,0.4,1.5,25,0.9,1.6,0.36,8.7,60.4,England,2019-20,Oxford,Low
1342,St Patrick's International College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1343,Pearson College,395,350,1.29,88.3,15,3.3,3.2,30,8.1,8.5,1.29,0.9,104,England,2019-20,Surrey,Moderate
1344,Plymouth College of Art,375,320,1.45,87.7,15,3.7,3,40,11.2,9.3,1.45,1.2,118.2,England,2019-20,Plymouth,High
1345,University of Plymouth,3920,3620,0.38,90.7,75,1.9,2.6,225,5.7,6.7,0.38,2,92.7,England,2019-20,Plymouth,Moderate
1346,Point Blank Music School,190,150,2.35,85.6,5,3.2,3,35,18,11.4,2.35,1,104.7,England,2019-20,London,High
1347,The University of Portsmouth,5145,4720,0.33,89.8,120,2.3,3.1,305,5.9,7.1,0.33,2.9,99.5,England,2019-20,Portsmouth,Moderate
1348,The Prince's Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1349,Queen Mary University of London,3935,3740,0.33,93.8,100,2.5,2.1,95,2.4,4,0.33,3.4,83.9,England,2019-20,London,Low
1350,University Centre Quayside Limited,40,30,5.65,81.3,0,0,2.8,10,26.3,15.9,5.65,1.4,94.6,England,2019-20,Newcastle upon Tyne,High
1351,Royal Academy of Dramatic Art,50,45,2.81,87.6,0,0,1.9,0,2.1,10.5,2.81,0.9,117.2,England,2019-20,London,Low
1352,Royal Academy of Dance,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1353,Ravensbourne University London,775,670,0.95,87.4,30,4.1,3.1,75,9.4,9.5,0.95,2.5,109.3,England,2019-20,London,Moderate
1354,"Richmond, The American International University in London",75,50,3.33,85.8,10,13.7,4.1,10,16.4,10.2,3.33,0.4,97.3,England,2019-20,London,High
1355,The University of Reading,3020,2825,0.4,92.9,80,2.6,2.4,115,3.8,4.6,0.4,3.2,91.9,England,2019-20,Reading,Low
1356,Regent's University London Limited,75,60,3.03,85.3,5,6.7,4,10,12,10.6,3.03,2.4,82,England,2019-20,London,High
1357,Regents Theological College,45,40,3.61,86.6,0,2.2,2.7,5,6.7,10.7,3.61,2.9,66.5,England,2019-20,Cambridge,Moderate
1358,Results Consortium Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Nottingham,Low
1359,Raindance Educational Services Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1360,Regent College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1361,Roehampton University,2860,2455,0.49,86.9,135,4.7,3.2,270,9.4,10,0.49,5.4,102.8,England,2019-20,London,Moderate
1362,Rose Bruford College of Theatre and Performance,195,185,1.53,88.5,5,2,3,5,3.1,8.5,1.53,0.7,119.8,England,2019-20,London,Low
1363,Royal Academy of Music,55,55,2.95,91.5,0,0,2.8,0,3.6,5.7,2.95,0.3,128.8,England,2019-20,London,Low
1364,Royal Agricultural University,275,260,1.4,91.3,0,0.7,2.1,15,5.4,6.6,1.4,4.6,69.4,England,2019-20,Cirencester,Moderate
1365,Royal College of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1366,Royal College of Music,60,60,2.56,91.2,0,0,2.9,0,1.6,5.9,2.56,0.4,125,England,2019-20,London,Low
1367,The Royal Central School of Speech and Drama,205,190,1.54,89.5,5,2,2.7,10,4.4,7.8,1.54,0.7,125.3,England,2019-20,London,Low
1368,Royal Holloway and Bedford New College,2525,2360,0.43,92.8,85,3.4,2.5,80,3.2,4.7,0.43,2,96.8,England,2019-20,Egham,Low
1369,Royal Northern College of Music,120,115,1.9,91.4,0,1.7,2.8,5,2.5,5.8,1.9,0.6,128.2,England,2019-20,Manchester,Low
1370,The Royal Veterinary College,300,295,1.07,95.9,5,1.3,1.4,0,0.3,2.7,1.07,4.1,43.6,England,2019-20,London,Low
1371,SAE Education Limited,335,255,1.81,83.8,0,0.6,3.7,80,23.7,12.6,1.81,3.3,87.3,England,2019-20,London,High
1372,"St George's, University of London",885,840,0.73,95.1,15,1.9,1.6,30,3.4,3.4,0.73,2.6,83.5,England,2019-20,London,Low
1373,"St Mary's University, Twickenham",1060,855,0.88,87.8,60,5.8,3.2,140,13.3,9.1,0.88,1.9,92.6,England,2019-20,Twickenham,High
1374,The University of Salford,5455,4855,0.35,88.8,170,3.1,3,435,8,8.2,0.35,2.8,101.7,England,2019-20,Salford,Moderate
1375,The Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1376,London School of Science and Technology Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1377,SOAS University of London,750,645,0.78,90.6,40,5.5,3.7,60,8,5.7,0.78,25.1,60.9,England,2019-20,London,Moderate
1378,Sheffield Hallam University,6800,6205,0.29,89.6,150,2.2,2.9,445,6.6,7.5,0.29,3.2,101.4,England,2019-20,Sheffield,Moderate
1379,The University of Sheffield,3625,3435,0.35,94.2,90,2.5,2.1,100,2.8,3.7,0.35,3.5,77.3,England,2019-20,Sheffield,Low
1380,The Sherwood Psychotherapy Training Institute Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Nottinghamshire,Low
1381,Solent University,2400,2095,0.55,86.8,65,2.8,3.1,235,9.9,10.1,0.55,1.8,106.6,England,2019-20,Southampton,High
1382,The University of Southampton,3330,3195,0.36,94.7,55,1.6,2,80,2.5,3.3,0.36,3,80,England,2019-20,Southampton,Low
1383,Spurgeon's College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1384,Staffordshire University,3280,2860,0.47,87.6,85,2.6,3,330,10.1,9.4,0.47,2.1,103.6,England,2019-20,Stoke-on-Trent,High
1385,Study Group,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1386,University of St Mark and St John,780,685,0.98,88.1,10,1.4,2.6,85,10.8,9.3,0.98,1.5,95.8,England,2019-20,Plymouth,High
1387,University of Suffolk,3125,2470,0.54,83,100,3.1,2.9,560,17.9,14.1,0.54,9.2,93.3,England,2019-20,Ipswich,High
1388,The University of Sunderland,3905,3355,0.44,86.5,110,2.8,2.9,440,11.3,10.7,0.44,5,109.4,England,2019-20,Sunderland,High
1389,The University of Surrey,3255,3010,0.4,92.8,90,2.8,2.4,155,4.8,4.8,0.4,1.8,97.6,England,2019-20,Guildford,Low
1390,The University of Sussex,3285,3010,0.4,92.5,115,3.5,2.7,155,4.8,4.8,0.4,3.5,92.6,England,2019-20,Brighton,Low
1391,Teesside University,3345,2950,0.46,88.9,60,1.8,2.8,330,9.9,8.3,0.46,2.6,96.6,England,2019-20,Middlesbrough,High
1392,ThinkSpace Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1393,Trinity Laban Conservatoire of Music and Dance,225,200,1.54,90.1,15,5.8,2.8,10,4.9,7.1,1.54,0.8,126.1,England,2019-20,London,Low
1394,University Centre Peterborough,145,120,2.43,84.7,0,1.4,4,20,15.1,11.3,2.43,0.7,91.3,England,2019-20,Peterborough,High
1395,The University of Law,855,785,0.72,90,45,5.1,3.6,25,3,6.5,0.72,4.4,89.5,England,2019-20,London,Low
1396,INTO University Partnerships Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1397,University College London,2615,2505,0.4,95.9,50,1.9,1.7,65,2.4,2.4,0.4,4.5,60.7,England,2019-20,London,Low
1398,The University of Warwick,3520,3380,0.34,95.6,55,1.5,1.8,90,2.5,2.6,0.34,5.7,70.8,England,2019-20,Coventry,Low
1399,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Surrey,Low
1400,"University of the West of England, Bristol",6340,5705,0.31,90,205,3.2,2.9,430,6.8,7.1,0.31,3.2,97.1,England,2019-20,Bristol,Moderate
1401,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,West Sussex,Low
1402,The University of West London,2685,2260,0.55,86.5,95,3.5,2.8,335,12.4,10.7,0.55,2.4,103.9,England,2019-20,London,High
1403,The University of Westminster,3895,3400,0.41,89.1,180,4.6,3.2,315,8,7.7,0.41,2.5,103,England,2019-20,London,Moderate
1404,The University of Winchester,2250,2040,0.51,89.9,60,2.7,3,150,6.6,7.1,0.51,1.6,98.2,England,2019-20,Winchester,Moderate
1405,The University of Wolverhampton,4045,3415,0.44,86.8,150,3.7,3.2,480,11.9,10,0.44,3.2,95.3,England,2019-20,Wolverhampton,High
1406,University of Worcester,2255,2015,0.55,90,40,1.9,2.5,200,8.8,7.5,0.55,2.4,99.1,England,2019-20,Worcester,Moderate
1407,Writtle University College,195,175,1.68,89.4,5,2.6,2.7,15,6.7,7.9,1.68,5.2,42.7,England,2019-20,Chelmsford,Moderate
1408,York St John University,1825,1605,0.61,89.1,60,3.3,3,165,9,7.9,0.61,1.5,97.2,England,2019-20,York,Moderate
1409,The University of York,3735,3615,0.33,94.4,45,1.2,2.1,75,2,3.4,0.33,3,85.1,England,2019-20,York,Low
